"timestamp","ip","port","hostname","tag","handshake","asn","geo","region","city","cipher_suite","ssl_poodle","cert_length","subject_common_name","issuer_common_name","cert_issue_date","cert_expiration_date","sha1_fingerprint","cert_serial_number","ssl_version","signature_algorithm","key_algorithm","subject_organization_name","subject_organization_unit_name","subject_country","subject_state_or_province_name","subject_locality_name","subject_street_address","subject_postal_code","subject_surname","subject_given_name","subject_email_address","subject_business_category","subject_serial_number","issuer_organization_name","issuer_organization_unit_name","issuer_country","issuer_state_or_province_name","issuer_locality_name","issuer_street_address","issuer_postal_code","issuer_surname","issuer_given_name","issuer_email_address","issuer_business_category","issuer_serial_number","naics","sic","sector","sha256_fingerprint","sha512_fingerprint","md5_fingerprint","http_response_type","http_code","http_reason","content_type","http_connection","www_authenticate","set_cookie","server_type","content_length","transfer_encoding","http_date","cert_valid","self_signed","cert_expired","browser_trusted","validation_level","browser_error","tlsv13_support","tlsv13_cipher","raw_cert","raw_cert_chain","jarm","device_vendor","device_type","device_model","device_version","device_sector","page_sha256fp"
"2021-09-22 00:02:20","190.128.255.82",10443,,"ssl,ssl-poodle,vpn","TLSv1.0",23201,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_RC4_128_SHA","Y",2048,"FGT40C3914017806","FGT40C3914017806","2070-01-01 00:02:02","1980-01-02 00:02:02","3A:7E:B2:06:62:43:C9:B8:40:05:85:9B:AE:E9:3C:43:33:F8:46:C9","55BD8569",2,"sha1WithRSAEncryption","rsaEncryption","Fortinet Ltd.",,,,,,,,,,,,"Fortinet Ltd.",,,,,,,,,,,,,,,"F5:6F:A2:67:F1:05:3D:2A:1D:56:FB:15:3D:01:54:72:D3:5C:11:EC:E5:C4:47:8A:94:A2:E6:31:20:0E:06:F4","10:C7:75:2B:F9:EA:4C:D6:AC:3E:F5:B1:C8:39:40:C1:A8:D8:3A:26:B4:90:80:15:6B:CB:35:96:B7:18:7D:5E:3D:7E:35:6D:71:14:53:70:3A:A5:32:EF:21:E9:DC:99:B2:53:68:1F:85:74:10:F0:6C:65:07:F3:6E:91:1D:CE","D1:37:FC:F9:BE:44:DC:59:FE:08:26:4F:16:D4:B6:14","HTTP/1.1",200,"OK","text/html",,,,,79,,"Wed, 07 Jan 1970 05:10:41 GMT","N","Y","Y","N","unknown","x509: unknown error",,,,,,"Fortinet","firewall","FortiGate",,"enterprise",
"2021-09-22 00:12:47","190.128.236.194",443,"mail.cencopan.coop.py","ssl,ssl-poodle","TLSv1.2",23201,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_RC4_128_SHA","Y",2048,"mail.cencopan.coop.py","cencopan-SOL-CA-1","2021-01-08 14:10:23","2023-01-08 14:10:23","4B:EB:FE:52:BD:1E:49:75:3F:F0:3B:5B:41:F1:F1:5C:FC:59:02:2E","5800000013CBA6668655477882000000000013",2,"sha1WithRSAEncryption","rsaEncryption","CENCOPAN LTDA.","TI","PY","Central","Asuncion",,,,,,,,,,,,,,,,,,,,,,,"08:93:2D:07:C0:E3:DB:C9:8E:F3:48:4F:3D:15:67:B4:7A:DF:1E:BA:3C:1B:26:75:C2:23:BA:90:7E:E1:1E:08","FB:CA:45:47:A7:E7:4F:6E:A6:B6:FF:AD:5E:EF:6D:E6:07:2E:4F:52:48:36:25:BB:A6:42:86:9B:7C:15:F3:01:62:AD:A0:E5:48:57:46:CF:B2:33:D0:99:79:76:09:20:B4:34:28:4E:F2:4D:C0:2E:43:B9:C5:FE:14:E0:A5:7F","3E:25:00:B0:91:FA:A2:9B:A3:84:3F:56:BA:12:E0:F3","HTTP/1.1",302,"Found","text/html; charset=utf-8",,,,"Microsoft-IIS/8.5",214,,"Wed, 22 Sep 2021 00:11:34 GMT","N","N","N","N","unknown","x509: certificate signed by unknown authority","N",,,,00000000000000000000000000000000000000000000000000000000000000,,,,,,"bdc8c79d5fc9d6129f017456104ed996ab82eac38283ea1e01c8a5d03637c415"
"2021-09-22 00:13:52","181.120.32.16",443,"pool-16-32-120-181.telecel.com.py","ssl,ssl-poodle","TLSv1.2",23201,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_RC4_128_SHA","Y",1024,"SMB","SMB","2015-01-01 00:00:47","2029-12-28 00:00:47","E9:C8:66:0D:AB:6C:03:A7:07:83:C5:05:EC:35:AE:67:FD:E1:E4:38","1A9A62E5",2,"sha1WithRSAEncryption","rsaEncryption","TPLINK",,"CN","GD","SZ",,,,,,,,"TPLINK",,"CN","GD","SZ",,,,,,,,,,,"DF:33:9A:A9:69:B4:C6:5D:90:B8:4E:C1:95:6A:7B:68:75:ED:C6:C1:18:B4:9D:22:74:7A:06:3A:5B:F9:48:25","CD:A2:FC:F9:BC:3D:B4:FF:23:CB:1A:FA:C5:7F:4B:93:D5:66:96:19:ED:00:CA:43:67:C9:72:E6:FE:39:75:D7:6C:8A:5E:46:B4:D5:BA:9D:F3:40:A6:B6:5C:DA:18:8F:B0:A5:D5:F6:94:69:D0:19:F3:53:22:58:14:37:69:20","98:65:AB:7E:88:54:14:DB:50:6C:91:CE:92:A7:E9:60",,,,,,,,,,,,"N","Y","N","N","unknown","x509: unknown error","N",,,,"04d02d00004d04d04c04d02d04d04d9674c6b4e623ae36cc2d998e99e2262e",,,,,,"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"2021-09-22 00:13:58","200.85.48.6",443,,"iot,ssl,ssl-poodle","TLSv1.0",23201,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_AES_256_CBC_SHA","Y",1024,"e0:0e:da:61:46:ec","e0:0e:da:61:46:ec","2010-01-01 08:00:06","2019-12-30 08:00:06","8F:F7:0B:BA:F8:23:AD:E2:9F:91:96:F2:64:F8:48:C1:88:DF:5B:C9","B3BC17E4DAFEB3A9",2,"sha1WithRSAEncryption","rsaEncryption","Cisco Systems, Inc.","RV042G","US",,"Irvine",,,"Califomia",,,,,"Cisco Systems, Inc.","RV042G","US",,"Irvine",,,"Califomia",,,,,,,,"C5:6B:C7:8F:15:C8:4F:98:8D:AE:FA:E6:AB:2B:47:A5:83:58:9C:10:89:22:9C:C9:47:40:D2:CC:E2:AA:88:09","8B:8E:75:04:3F:4F:2D:E1:4E:1C:38:07:27:D0:57:BC:8A:D6:48:78:B8:02:9B:EA:D0:E9:84:25:FF:BB:B4:E2:87:32:32:F1:4F:FD:32:67:9B:3F:C0:4F:1D:81:3C:D7:E4:5C:A4:E5:0A:6E:D6:F4:49:9C:C5:D4:19:21:B2:12","C5:37:EE:E0:AC:0C:45:55:96:10:C8:3E:9A:50:FF:F1",,,,,,,,,,,,"Y","Y","Y","N","unknown","x509: unknown error","N",,,,"05b10b11b04b04b05b05b10b05b04ba441f40918707087561e2af18cf76f0e","Cisco","router","RV042G",,"consumer","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"2021-09-22 00:14:05","201.217.40.243",443,"ministeriopublico.gov.py","ssl,ssl-poodle","TLSv1.2",27768,"PY","ASUNCION","ASUNCION","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","Y",2048,"*.ministeriopublico.gov.py","GlobalSign RSA OV SSL CA 2018","2020-12-23 12:07:36","2021-11-16 22:06:02","AE:37:FB:FB:7D:1C:6A:AE:71:28:0B:86:EC:93:29:CD:95:EF:74:E9","60132A842417F83ACCEFC02F",2,"sha256WithRSAEncryption","rsaEncryption","Ministerio Publico","Ministerio Publico de la Republica del Paraguay","PY","Capital District","Asuncion",,,,,,,,"GlobalSign nv-sa",,"BE",,,,,,,,,,813110,,,"D6:92:A2:67:3C:69:F0:A3:30:E0:D8:22:9F:40:32:C4:42:1C:36:27:6A:11:37:81:E9:0A:D0:25:42:D1:A5:67","5F:62:4E:D3:0B:52:04:E0:19:8A:9B:98:48:15:5F:94:95:D4:C8:41:91:05:C7:AB:F0:FB:74:B7:A8:3D:0C:35:A6:D7:3C:A0:0C:DF:8D:31:9F:47:DD:1D:A8:36:0F:3D:3B:80:32:8B:3B:E1:CB:D1:10:3E:D6:68:60:06:EE:02","BB:92:64:17:8F:9A:03:81:F6:D8:A6:77:BF:8C:53:DE","HTTP/1.1",302,"Found","text/html; charset=UTF-8",,,"OJSSID=a22e877f59d8cad0a7ad5eddb8a516d7; path=/; domain=201.217.4","Apache",0,,"Wed, 22 Sep 2021 00:14:21 GMT","N","N","N","N","OV","x509: certificate signed by unknown authority","N",,,,"05d02d20d21d20d05c05d02d05d20d74fcf6501ae7a92319e575bfafd2a827",,,,,,"a8a6b2b2b429c4c9a67eeee277a1a5e2ad3103142b3afdea23dcf3016ea0cc74"
"2021-09-22 00:14:14","181.40.77.198",443,"pool-198-77-40-181.telecel.com.py","ssl,ssl-poodle","SSLv3",23201,"PY","MISIONES","SANTA ROSA","TLS_RSA_WITH_RC4_128_SHA","Y",1024,"IOS-Self-Signed-Certificate-817694464","IOS-Self-Signed-Certificate-817694464","1993-03-01 00:00:57","2020-01-01 00:00:00","67:33:DB:EE:0E:99:2A:4B:CF:22:5D:84:4B:BD:33:B7:3E:26:06:AE",01,2,"md5WithRSAEncryption","rsaEncryption",,,,,,,,,,,,,,,,,,,,,,,,,,,,"F4:40:EA:0F:49:98:2B:2A:FC:0B:4C:22:36:C8:ED:EF:FE:AB:EF:41:70:01:BA:22:28:8C:12:D9:64:E9:04:E3","03:87:A3:67:EE:FB:F0:82:23:55:B4:58:8D:FD:0F:DC:77:2F:D8:76:50:FE:F1:25:DF:5A:E1:96:78:21:CB:B2:FD:27:F1:08:BC:93:67:3F:7B:C3:6B:BE:CE:2B:A8:8B:E2:74:72:A8:A9:9F:85:2E:C4:E8:81:D7:34:67:53:3B","20:F2:2C:F7:CF:3A:D3:62:2C:F6:78:10:17:B5:81:3B","HTTP/1.1",401,"Unauthorized",,"close","Basic realm=""level_15_access""",,"cisco-IOS",,,"Thu, 04 Mar 1993 12:51:11 GMT","Y","Y","Y","N","unknown","x509: unknown error","N",,,,"04a02a00004a04a04a04a02a04a04ad4930a56c1af5861cdfdeb54961066d9",,,,,,"6898c1828ad6ccb0545609dc655c5133fbb54b9e5a0dda1c8ac09dc49e3b138d"
"2021-09-22 00:14:15","201.222.48.9",443,"host9.teisa.com.py","ssl,ssl-poodle","TLSv1.0",28103,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_RC4_128_SHA","Y",1024,"self-signed","self-signed","2017-06-18 15:11:21","2022-06-17 15:11:21","DF:B0:5D:ED:06:02:AE:D9:78:D1:16:E2:75:8F:02:FA:BE:02:61:3F","3D6CAB26D783542E1871D3765CEF1505",2,"sha1WithRSAEncryption","rsaEncryption",,,,,,,,,,,,,,,,,,,,,,,,,,,"Communications, Service Provider, and Hosting Service","03:D7:4C:9F:81:0D:51:81:FD:E1:CF:A7:84:36:35:42:84:4C:8F:94:66:11:06:F1:91:92:BB:81:E1:B6:5F:1D","C5:E6:F1:6A:DD:9E:49:A2:DE:A8:35:AA:B4:DE:BD:9C:52:5A:C4:3D:CA:C8:E2:F3:ED:9D:F3:F3:13:F4:3D:B7:4A:C5:92:7F:F1:3C:B8:E2:EF:DF:15:2B:77:B1:B4:B8:D7:86:EE:B0:96:1E:42:29:90:9B:23:48:7B:CE:84:24","29:40:05:A2:9C:C0:53:CA:0C:E7:6E:28:7C:32:70:36","HTTP/1.1",200,"OK","text/html","keep-alive",,,"Embedthis-Appweb/3.2.3",,"chunked","Tue, 21 Sep 2021 19:03:41 GMT","N","Y","N","N","unknown","x509: unknown error","N",,,,"05b02b09b04b04b05b05b02b05b04ba441f40918707087561e2af18cf76f0e",,,,,,"f951a6bd5fd5765a284f40379858a275a31dd4910e4cc4aba1b6e7b2b32390bf"
"2021-09-22 00:14:20","181.40.66.198",443,"comprar.sancorseguros.com.py","ssl,ssl-poodle","TLSv1.2",23201,"PY","ASUNCION","ASUNCION","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","Y",2048,"comprar.sancorseguros.com.py","Sectigo RSA Domain Validation Secure Server CA","2021-06-29 00:00:00","2022-06-29 23:59:59","91:C7:AD:24:90:13:29:C7:E8:DB:55:26:31:16:FA:7C:43:E8:BD:13","0E0A3CED91A2C1DC757732F00DD8990E",2,"sha256WithRSAEncryption","rsaEncryption",,,,,,,,,,,,,"Sectigo Limited",,"GB","Greater Manchester","Salford",,,,,,,,,,,"A6:69:82:59:83:75:63:DE:E0:DE:8B:8F:2A:7F:52:7A:C3:08:83:9D:76:3B:2C:49:C2:8E:AB:43:64:BA:D8:12","B7:7B:DB:A5:10:62:0F:82:FA:22:77:05:16:55:9F:8D:19:3E:7E:70:AA:0C:8C:11:26:3E:6F:BE:64:1A:CA:ED:A3:4E:DD:A7:0B:23:E5:30:B8:4E:67:0F:3D:37:4A:C4:76:09:B1:F7:C8:E0:BF:F3:12:03:5B:06:AA:38:63:B8","AE:3B:0E:B1:5F:53:BA:B1:CC:F0:A1:4B:5E:49:09:A2","HTTP/1.1",302,"Found","text/html; charset=UTF-8",,,"exchange=Q2FrZQ%3D%3D.M2I1NGUxNDUzNWRiYzI1ZjM2MjFjNWRhOGU3NWI2N2Y","Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.2.",0,,"Wed, 22 Sep 2021 00:14:23 GMT","Y","N","N","Y","DV",,"N",,,,"05d02d20d21d20d05c05d02d05d20d74fcf6501ae7a92319e575bfafd2a827",,,,,,"c8120807f82922e70e8fb9a37a63541f5ab95cca7ffa01988f5c18a9dca3aa44"
"2021-09-22 00:14:23","190.128.197.148",443,"unida.edu.py","ssl,ssl-poodle","TLSv1.2",23201,"PY","ASUNCION","ASUNCION","TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","Y",2048,"*.unida.edu.py","GlobalSign RSA OV SSL CA 2018","2019-10-23 15:02:06","2021-10-25 21:51:03","25:43:CD:2D:DB:CB:ED:26:6F:0E:18:F7:2E:63:3C:80:C9:86:0C:D8","150F60C6298FCC401B35C9E8",2,"sha256WithRSAEncryption","rsaEncryption","Sociedad de Ensenanza Superior S.A.",,"PY","CENTRAL","ASUNCION",,,,,,,,"GlobalSign nv-sa",,"BE",,,,,,,,,,,,,"1A:82:7C:40:70:F6:CD:0B:67:08:B3:72:00:79:8A:0F:6D:01:14:CD:FC:55:BB:0C:CF:1C:34:6D:A8:C2:1D:ED","DD:CA:5D:2C:CF:84:84:0D:A0:8A:99:2E:73:95:63:E7:3B:86:5E:39:6A:9D:7E:7F:DF:AC:2A:78:EF:63:22:45:1F:C7:D5:63:6D:14:69:BB:70:06:B9:A1:1A:79:D5:90:47:50:47:DB:6B:94:18:62:F7:A8:AB:54:5B:47:5C:62","B6:49:E6:51:31:EF:BF:73:7B:71:C9:9E:09:C8:06:5D","HTTP/1.1",200,"OK","text/html; charset=UTF-8",,,,"Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.2.",158,,"Wed, 22 Sep 2021 00:14:25 GMT","Y","N","N","Y","OV",,"N",,,,"05d02d20d21d20d05c05d02d05d20d74fcf6501ae7a92319e575bfafd2a827",,,,,,"765cf966160a3db43b564d588418a2924615731232f4d77a0a94a84c4a0a3d1e"
"2021-09-22 00:14:37","131.161.253.57",443,"host57.teisa.com.py","ssl,ssl-poodle,vpn","TLSv1.0",28103,"PY","ASUNCION","ASUNCION","TLS_RSA_WITH_RC4_128_SHA","Y",2048,"FG200A3907509084","FG200A3907509084","2021-01-19 09:51:20","2031-01-20 09:51:20","32:D9:EF:BF:8E:F9:D5:53:3C:A7:DE:0D:79:12:8D:EB:62:5E:25:8C","-17A61603",2,"sha1WithRSAEncryption","rsaEncryption","Fortinet Ltd.",,,,,,,,,,,,"Fortinet Ltd.",,,,,,,,,,,,,,"Communications, Service Provider, and Hosting Service","57:8C:44:20:60:02:F1:BC:20:87:3B:30:A8:41:FE:08:35:C6:16:74:99:98:F0:E8:61:69:96:61:1A:28:62:7D","42:1C:C9:BF:92:77:FA:E0:88:74:91:62:91:6B:00:11:6B:D2:DD:B0:F7:CD:13:13:6B:2D:52:1F:D2:C5:81:03:F4:03:CE:00:83:72:38:CF:E3:7A:87:67:B7:17:C7:FA:93:F7:A2:84:A9:F8:85:00:69:68:F4:17:41:BE:AC:C3","64:9D:83:2F:59:EB:DE:05:52:2D:B9:EC:A4:D4:52:91","HTTP/1.1",200,"OK","text/html",,,,,79,,"Tue, 21 Sep 2021 22:30:44 GMT","N","Y","N","N","unknown","x509: unknown error","N",,,,"05b02b09b04b04b05b05b02b05b04bbf5196c73574bc207a5ce48e3b47682e","Fortinet","firewall","FortiGate",,"enterprise","4573b5e70bd52d5d7c5b6f86a14a25d42d46c8240ce74c06ff016efd3d4e9211"
